aspect,label
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Health,neutral
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
Industry,positive
